Number of consecutive occurrences	1	2	3	4	5	6	7	8	9	10	11	12	13
Bin:0.0-10.0	6235	1070	309	135	62	35	15	11	8	4	3	4	3
Bin:10.0-20.0	2862	29	0	0	0	0	0	0	0	0	0	0	0
Bin:20.0-30.0	1745	3	0	0	0	0	0	0	0	0	0	0	0
Bin:30.0-40.0	1264	1	0	0	0	0	0	0	0	0	0	0	0
Bin:40.0-50.0	969	1	0	0	0	0	0	0	0	0	0	0	0
Bin:50.0-60.0	682	1	0	0	0	0	0	0	0	0	0	0	0
Bin:60.0-70.0	523	0	0	0	0	0	0	0	0	0	0	0	0
Bin:70.0-80.0	478	0	0	0	0	0	0	0	0	0	0	0	0
Bin:80.0-90.0	393	1	0	0	0	0	0	0	0	0	0	0	0
Bin:90.0-100.0	355	0	0	0	0	0	0	0	0	0	0	0	0
