Score Range Min	Score Range Max	Feature 1	Feature 2	Ratio same opposite	Ratio divergent convergent
35.0-208.0	0.498051203668	0.479358795894	0.095740920893257	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	6.044078049844841e-36	6.044078049844841e-36
208.0-382.0	0.487808064095	0.495430587435	1.4658419894058142e-25	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	0.0051068197627357525	0.0051068197627357525
382.0-555.0	0.494123381899	0.508458244111	9.271511473410582e-05	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	6.321781592083591e-05	6.321781592083591e-05
555.0-729.0	0.486138798904	0.488270594654	2.2004050648936186e-12	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	2.0830677177510832e-05	2.0830677177510832e-05
729.0-902.0	0.486362314626	0.592051630435	4.3492322365454765e-07	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	6.953214547158599e-133	6.953214547158599e-133
902.0-1075.0	0.481987904286	0.588324873096	9.187617012332376e-06	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	1.2754922484373962e-55	1.2754922484373962e-55
1075.0-1249.0	0.508656036446	0.500695410292	0.10706596920373534	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	0.939320447711165	0.939320447711165
1249.0-1422.0	0.497167755991	0.266031195841	0.7121274169594314	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	4.2296500740526784e-116	4.2296500740526784e-116
1422.0-1596.0	0.456175298805	0.854700854701	1.6263702330966282e-06	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	3.8266908861309337e-200	3.8266908861309337e-200
1596.0-1769.0	0.481818181818	1.0	0.2960143016326849	[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]	1.0748601772104912e-137	1.0748601772104912e-137
